allele,frequency
A26:01,0.0228
A26:02,2.3e-05
A26:03,2.3e-05
A26:08,1.1e-05
A26:35,1.1e-05
A29:01,0.0753
A29:02,0.005
A29:04,1.1e-05
A30:01,0.0139
A30:02,0.0002
A30:04,5.7e-05
A30:17,1.1e-05
A31:01,0.0137
A31:06,6e-06
A31:12,3.4e-05
A31:32,6e-06
A32:01,0.0017
A33:01,0.0003
A33:03,0.1188
A34:01,0.007
A34:02,3.4e-05
A34:05,4.8e-05
A36:01,5.7e-05
A66:01,3.4e-05
A66:02,6e-06
A66:03,6e-06
A66:13,3.4e-05
A66:14,3.4e-05
A68:01,0.0057
A68:02,0.0004
A68:03,1.1e-05
A69:01,1.1e-05
A74:01,0.0028
A74:05,0.0001
A80:01,1.1e-05
C01:02,0.1673
C01:03,0.0007
C01:06,2.1e-05
C01:08,3.3e-05
C02:02,0.0018
C03:02,0.0719
C03:03,0.0397
C03:04,0.072
C03:05,3.4e-05
C03:17,9.1e-05
C03:21,1.8e-05
C03:27,1.8e-05
C03:94,2.2e-05
C04:01,0.0383
C04:03,0.045
C04:04,1.6e-05
C04:06,0.0015
C04:10,4.2e-05
C05:01,0.0015
C06:02,0.0426
C07:01,0.0321
C07:02,0.1553
C07:04,0.014
C07:26,2.1e-05
C07:27,1.6e-05
C07:43,5.4e-05
C08:01,0.1644
C08:02,0.0006
C08:03,0.0019
C08:11,1.6e-05
C08:16,2.1e-05
C08:27,2.3e-05
C08:42,1.9e-05
C12:02,0.0189
C12:03,0.0143
C12:04,1.8e-05
C14:02,0.0225
C14:03,0.0002
C14:06,2.7e-05
C15:02,0.0186
C15:04,3.8e-05
C15:05,0.0718
C15:09,5.1e-05
C16:01,0.0003
C16:02,0.0014
C17:01,0.0007
C18:01,0.0002
