allele,frequency
A26:07,6e-06
A26:08,0.0001
A26:09,5e-06
A26:12,0.0001
A26:13,1e-06
A26:27,1e-06
A26:31,1e-06
A26:42,1e-06
A26:64,1e-06
A29:01,0.0003
A29:02,0.0318
A29:03,7e-06
A29:09,4e-06
A29:11,5e-06
A29:14,2e-06
A30:01,0.0685
A30:02,0.0667
A30:03,1e-06
A30:04,0.0022
A30:07,0.0002
A30:08,2.3e-05
A30:09,4.9e-05
A30:10,1.1e-05
A30:11,1e-06
A30:15,4e-06
A30:16,1.8e-05
A30:28,5e-06
A30:31,1e-06
A30:32,1e-06
A30:35,1e-06
A31:01,0.01
A31:02,1e-06
A31:04,0.0001
A31:06,2e-06
A31:42,1e-06
A32:01,0.015
A32:03,7e-06
A32:04,1e-06
A32:06,2e-06
A32:07,4e-06
A32:08,4e-06
A32:09,1e-06
A33:01,0.0206
A33:03,0.0518
A33:05,1.3e-05
A33:07,1e-06
A33:10,1e-06
A33:11,2e-06
A33:21,1e-06
A33:24,1e-06
A33:43,1e-06
A34:01,7.7e-05
A34:02,0.0335
A34:03,1.8e-05
A34:07,1e-06
A34:08,1e-06
A36:01,0.0253
A36:03,7.7e-05
A43:01,9.7e-05
A66:01,0.0141
A66:02,0.0089
A66:03,0.0018
A66:04,2e-06
A66:07,1e-06
A68:01,0.0395
A68:02,0.0603
A68:03,9.8e-05
A68:04,1e-06
A68:05,1.7e-05
A68:07,1.1e-05
A68:08,2.9e-05
A68:09,1e-06
A68:10,0.0002
A68:13,2e-06
A68:15,0.0001
A68:17,1.1e-05
A68:19,2e-06
A68:26,1e-06
A68:27,1e-06
A68:28,8e-06
A68:32,1e-06
A68:39,2e-06
A68:40,1.2e-05
A68:44,5e-06
A68:46,1e-06
A68:54,1e-06
A68:67,2e-06
A68:68,2e-06
A69:01,0.0002
A74:01,0.0546
A74:03,0.0002
A74:04,1e-06
A74:06,1e-06
A74:08,4e-06
A74:09,0.0003
A74:10,6e-06
A74:11,0.0002
A74:13,1.8e-05
A80:01,0.0074
C01:02,0.0078
C01:16,4e-06
C02:02,0.089
C02:03,5e-06
C02:04,2e-06
C02:06,6e-06
C02:07,2e-06
C02:12,3e-06
C02:14,9.8e-05
C02:16,1.1e-05
C02:27,5e-06
C03:02,0.0185
C03:03,0.0129
C03:04,0.0565
C03:05,4.2e-05
C03:06,4e-06
C03:07,5e-06
C03:09,1e-06
