allele,frequency
B57:04,3.2e-06
B57:08,4e-07
B57:11,2e-06
B57:14,8e-07
B57:15,4e-07
B57:16,8e-07
B57:24,1.2e-06
B57:26,4e-07
B57:30,4e-07
B57:34,4e-07
B58:01,0.0073
B58:02,0.0001
B58:04,1e-07
B58:05,8e-07
B58:08,4e-07
B58:19,4e-07
B58:29,1e-07
B58:32,6e-07
B59:01,2.8e-06
B67:01,6.52e-05
B73:01,0.0004
B78:01,2.25e-05
B78:02,3.82e-05
B78:03,8e-07
B78:04,1.2e-06
B78:05,4e-07
B81:01,7.56e-05
B82:01,4e-06
B83:01,1.6e-06
A01:01,0.1646
A01:02,0.0001
A01:03,0.0001
A01:06,2.25e-05
A01:08,2e-06
A01:13,4e-07
A01:14,1e-07
A01:17,2.8e-06
A01:23,1.2e-06
A01:24,4e-07
A01:25,9.3e-06
A01:26,8e-07
A01:44,8e-07
A01:66,4e-07
A02:01,0.2755
A02:02,0.0009
A02:03,1.93e-05
A02:04,1.25e-05
A02:05,0.0097
A02:06,0.0018
A02:07,3.92e-05
A02:08,1.21e-05
A02:11,5.15e-05
A02:12,3.2e-06
A02:13,1.53e-05
A02:14,1.6e-06
A02:17,0.0004
A02:19,2.8e-06
A02:20,0.0001
A02:21,2.8e-06
A02:22,6.4e-05
A02:24,7.4e-05
A02:25,4e-07
A02:26,1.2e-06
A02:27,1.85e-05
A02:29,1.05e-05
A02:30,3.42e-05
A02:33,1.2e-06
A02:34,1.05e-05
A02:35,3.42e-05
A02:36,4e-06
A02:37,4e-07
A02:38,1.97e-05
A02:40,4e-07
A02:44,8e-07
A02:45,2e-06
A02:46,4e-07
A02:49,6e-06
A02:52,4e-07
A02:55,4e-07
A02:56,8e-07
A02:60,1.2e-06
A02:63,2e-07
A02:64,5.6e-06
A02:65,2e-07
A02:68,4e-07
A02:74,8e-07
A02:77,1.2e-06
A02:81,4e-07
A02:85,4.4e-06
A02:86,5.2e-06
A02:87,4e-07
A02:90,1.6e-06
A02:93,8e-07
A02:95,1.6e-06
A02:96,7.6e-06
A02:101,4e-07
A02:102,2e-07
A02:107,8e-07
A02:110,4.4e-06
A02:112,4e-07
A02:114,1.2e-06
A02:119,5.6e-06
A02:120,4e-07
A02:121,4e-07
A02:122,4e-07
A02:123,1.09e-05
A02:138,4e-07
A02:149,8e-07
A02:152,2e-07
A02:153,4e-07
A02:156,1.2e-06
A02:162,2.4e-06
A02:183,8e-07
A02:194,2.33e-05
A02:197,4e-07
A02:263,4e-07
A02:268,8e-07
A02:271,4e-07
A03:01,0.1399
A03:02,0.0024
A03:04,2e-07
A03:05,4.43e-05
A03:06,8e-07
A03:07,2.13e-05
A03:08,1.81e-05
A03:09,4e-07
A03:12,1.6e-06
A03:14,8e-07
A03:15,4e-07
A03:16,3.2e-06
A03:17,1.2e-06
A03:18,4e-07
A03:22,1.2e-06
A03:23,4e-07
A03:25,4e-07
A03:29,4e-07
A03:33,1.6e-06
A03:46,4e-07
A03:47,1.2e-06
A03:48,4e-07
A03:49,1e-07
A03:50,2.4e-06
A03:64,3e-07
A03:66,1e-07
A03:74,3e-07
A03:77,4e-07
A03:79,3e-07
A03:88,4e-07
A03:97,8e-07
A03:100,4e-07
A03:103,4e-07
A11:01,0.0609
A11:02,5.6e-06
A11:04,3.2e-06
A11:05,4.3e-05
A11:06,2e-06
A11:07,8e-07
A11:08,3.2e-06
A11:09,1.21e-05
A11:12,8e-06
A11:18,4e-07
A11:19,2e-07
A11:29,1.2e-06
A11:30,1.6e-06
A11:39,4e-07
A11:47,1.2e-06
A11:49,4e-07
A11:61,2e-07
A11:70,4e-07
A23:01,0.0197
A23:02,8e-07
A23:04,8e-07
A23:05,1.2e-06
A23:12,1.6e-06
A23:13,2.4e-06
A23:29,2e-07
A23:40,4e-07
A24:02,0.0846
A24:03,0.0019
A24:05,6e-06
A24:06,8e-07
A24:07,6.9e-05
A24:08,8e-07
A24:10,4e-07
A24:14,1.2e-06
A24:17,8e-07
A24:18,8e-07
A24:20,4e-07
A24:21,8e-07
A24:23,1.77e-05
A24:25,6e-06
A24:26,1.6e-06
A24:28,1.6e-06
A24:29,9.7e-06
A24:30,1.6e-06
A24:31,4.4e-06
A24:32,2.09e-05
A24:35,2e-06
A24:43,2.4e-06
A24:46,4e-07
A24:47,2.4e-06
A24:53,1.2e-06
A24:56,8e-07
A24:57,2.4e-06
A24:58,4.4e-06
A24:59,4e-07
A24:71,8e-07
A24:72,4e-07
A24:81,9.3e-06
A24:95,4e-07
A24:101,5.2e-06
A25:01,0.021
A25:02,3.34e-05
A25:03,3.2e-06
A25:06,4e-07
A25:08,8e-07
A25:10,4e-07
A25:11,4e-07
A26:01,0.0309
A26:02,6.8e-06
A26:03,3.6e-06
A26:05,1.2e-06
A26:07,8.4e-06
A26:08,0.001
A26:09,1.61e-05
A26:12,4e-07
A26:13,2.4e-06
A26:14,2.4e-06
A26:15,4.4e-06
A26:16,2e-07
A26:17,4.4e-06
A26:20,1.6e-06
A26:28,4e-07
A26:31,1.6e-06
A26:35,2e-07
A26:39,4e-07
A29:01,0.0027
A29:02,0.0353
A29:03,2.8e-06
A29:04,4e-06
A29:07,4e-07
A29:09,3.6e-06
A29:10,1.21e-05
A29:11,8e-07
A29:12,2.4e-06
A29:17,4e-07
A29:20,8e-07
A30:01,0.013
A30:02,0.009
A30:03,2e-06
A30:04,0.0015
A30:07,8e-07
A30:09,4e-07
A30:10,8.9e-06
A30:11,8e-07
A30:15,8e-07
A30:17,4e-07
A30:22,4e-07
A30:26,6e-07
A30:29,1.2e-06
A30:30,6e-07
A30:44,4e-07
A31:01,0.027
A31:02,6e-06
A31:04,1.01e-05
A31:06,1.2e-06
A31:07,2e-07
A31:08,1.01e-05
A31:09,2e-06
A31:10,2e-07
A31:20,2.4e-06
A31:26,8e-07
A31:36,8e-07
A31:40,4e-07
A32:01,0.0355
A32:02,2.8e-06
A32:03,1.61e-05
A32:04,6.28e-05
A32:05,3e-07
A32:06,2.4e-06
A32:07,1.29e-05
A32:08,6.4e-06
A32:09,4e-07
A32:15,3e-07
A32:17,1.6e-06
A32:18,8e-07
A32:25,3e-07
A33:01,0.0081
A33:03,0.0032
A33:05,9.86e-05
A33:09,2e-06
A33:12,4e-07
A33:17,2e-07
A33:24,4e-07
A33:43,2e-07
A34:01,3.98e-05
A34:02,0.0009
A34:08,2.4e-06
A36:01,0.0001
A36:02,1.6e-06
A36:04,2.8e-06
A43:01,2.4e-06
A66:01,0.0041
A66:02,2.78e-05
A66:03,5.6e-06
A66:04,4e-07
A66:05,4e-07
A66:06,4e-07
A68:01,0.0319
