allele,frequency
A24:26,7.7e-05
A24:27,5e-06
A24:28,4.8e-05
A24:30,7e-06
A24:38,2e-05
A24:42,7e-06
A24:53,0.0002
A24:68,3e-06
A24:72,3e-06
A24:73,3e-06
A24:94,7e-06
A24:95,7e-06
A24:109,1e-05
A24:121,5e-06
A24:138,7e-06
A25:01,0.0101
A25:02,2e-06
A25:06,3e-06
A25:11,2e-06
A26:01,0.0295
A26:02,2.4e-05
A26:03,3.4e-05
A26:05,1.4e-05
A26:07,2.7e-05
A26:08,0.0009
A26:12,3e-06
A26:13,3e-06
A26:14,3e-06
A26:16,2e-06
A26:17,7e-06
A26:27,7e-06
A26:35,2e-06
A29:01,0.0021
A29:02,0.0441
A29:03,2e-05
A29:04,2e-06
A29:11,3e-06
A29:18,2e-06
A30:01,0.0199
A30:02,0.0273
A30:04,0.0025
A30:09,1.4e-05
A30:10,0.0005
A30:12,8e-06
A30:25,3e-06
A31:01,0.0439
A31:02,0.0003
A31:04,1.7e-05
A31:06,3e-06
A31:07,5e-06
A31:09,5.1e-05
A31:10,5e-06
A31:15,9.5e-05
A31:18,7e-06
A31:41,3e-06
A32:01,0.0261
A32:02,7e-06
A32:03,7e-06
A32:04,3e-06
A32:05,2e-06
A32:25,2e-06
A33:01,0.0218
A33:03,0.0082
A33:05,2e-05
A33:06,3e-06
A33:08,2e-06
A33:09,2e-06
A34:01,0.0002
A34:02,0.0046
A36:01,0.0026
A36:03,1.7e-05
A36:04,3e-06
A66:01,0.0064
A66:02,0.0008
A66:03,0.0002
A68:01,0.048
A68:02,0.0248
A68:03,0.0167
A68:04,3e-06
A68:05,0.0024
A68:06,3.1e-05
A68:07,0.0003
A68:10,3e-06
A68:12,2.4e-05
A68:14,3e-06
A68:15,2.7e-05
A68:16,3.7e-05
A68:17,0.0001
A68:20,3e-06
A68:23,1.7e-05
A68:24,7e-06
A68:28,3e-06
A68:29,3e-06
A68:30,4.8e-05
A68:31,7.2e-05
A68:36,3.7e-05
A68:46,3e-06
A69:01,0.0028
A74:01,0.0073
A74:03,9.5e-05
A74:05,2e-06
A74:13,2e-06
A80:01,0.0016
C01:02,0.0544
C01:10,7.7e-05
C01:22,5e-06
C02:02,0.0367
C02:07,7e-06
